#Note: This mapping table is made by me. For the original version, see Code Page 1024.
#There may be more accented characters available, like K and V with dot below.

0x96	0x006F	#LATIN SMALL LETTER O
0x97	0x0070	#LATIN SMALL LETTER P
0x98	0x0071	#LATIN SMALL LETTER Q
0x99	0x0072	#LATIN SMALL LETTER R
0x9A	0x00AA	#FEMININE ORDINAL INDICATOR
0x9B	0x00BA	#MASCULINE ORDINAL INDICATOR
0x9C	0x00E6	#LATIN SMALL LIGATURE AE
0x9D	0x00B8	#CEDILLA
0x9D 0x83	0x00E7	#LATIN SMALL LETTER C WITH CEDILLA
0x9D 0x92	0x0137	#LATIN SMALL LETTER K WITH CEDILLA
0x9D 0x93	0x013C	#LATIN SMALL LETTER L WITH CEDILLA
0x9D 0x95	0x0146	#LATIN SMALL LETTER N WITH CEDILLA
0x9D 0x99	0x0157	#LATIN SMALL LETTER R WITH CEDILLA
0x9D 0xA2	0x015F	#LATIN SMALL LETTER S WITH CEDILLA
0x9D 0xA3	0x0163	#LATIN SMALL LETTER T WITH CEDILLA
0x9D 0xC3	0x00C7	#LATIN CAPITAL LETTER C WITH CEDILLA
0x9D 0xC7	0x0122	#LATIN CAPITAL LETTER G WITH CEDILLA
0x9D 0xD2	0x0136	#LATIN CAPITAL LETTER K WITH CEDILLA
0x9D 0xD3	0x013B	#LATIN CAPITAL LETTER L WITH CEDILLA
0x9D 0xD5	0x0145	#LATIN CAPITAL LETTER N WITH CEDILLA
0x9D 0xD9	0x0156	#LATIN CAPITAL LETTER R WITH CEDILLA
0x9D 0xE2	0x015E	#LATIN CAPITAL LETTER S WITH CEDILLA
0x9D 0xE3	0x0162	#LATIN CAPITAL LETTER T WITH CEDILLA
0x9E	0x00C6	#LATIN CAPITAL LIGATURE AE
0x9F	0x00A4	#CURRENCY SIGN
0xA0	0x00B5	#MICRO SIGN
0xA1	0x007E	#TILDE
0xA1 0x81	0x00E3	#LATIN SMALL LETTER A WITH TILDE
0xA1 0x89	0x0129	#LATIN SMALL LETTER I WITH TILDE
0xA1 0x95	0x00F1	#LATIN SMALL LETTER N WITH TILDE
0xA1 0x96	0x00F5	#LATIN SMALL LETTER O WITH TILDE
0xA1 0xA4	0x0169	#LATIN SMALL LETTER U WITH TILDE
0xA1 0xC1	0x00C3	#LATIN CAPITAL LETTER A WITH TILDE
0xA1 0xC9	0x0128	#LATIN CAPITAL LETTER I WITH TILDE
0xA1 0xD5	0x00D1	#LATIN CAPITAL LETTER N WITH TILDE
0xA1 0xD6	0x00D5	#LATIN CAPITAL LETTER O WITH TILDE
0xA1 0xE4	0x0168	#LATIN CAPITAL LETTER U WITH TILDE
0xA2	0x0073	#LATIN SMALL LETTER S
0xA3	0x0074	#LATIN SMALL LETTER T
0xA4	0x0075	#LATIN SMALL LETTER U
0xA5	0x0076	#LATIN SMALL LETTER V
0xA6	0x0077	#LATIN SMALL LETTER W
0xA7	0x0078	#LATIN SMALL LETTER X
0xA8	0x0079	#LATIN SMALL LETTER Y
0xA9	0x007A	#LATIN SMALL LETTER Z
0xAA	0x00A1	#INVERTED EXCLAMATION MARK
0xAB	0x00BF	#INVERTED QUESTION MARK
0xAC	0x00D0	#LATIN CAPITAL LETTER ETH (ICELANDIC) OR 0x0110	#LATIN CAPITAL LETTER D WITH STROKE
0xAD	    #UNDEFINED
0xAE	0x00DE	#LATIN CAPITAL LETTER THORN (ICELANDIC)
0xAF	0x00AE	#REGISTERED SIGN
0xB0	0x00A2	#CENT SIGN
0xB1	0x00A3	#POUND SIGN
0xB2	0x00A5	#YEN SIGN
0xB3	0x02C9	#MODIFIER LETTER MACRON
0xB3 0x81	0x0101	#LATIN SMALL LETTER A WITH MACRON
0xB3 0x85	0x0113	#LATIN SMALL LETTER E WITH MACRON
0xB3 0x89	0x012B	#LATIN SMALL LETTER I WITH MACRON
0xB3 0x96	0x014D	#LATIN SMALL LETTER O WITH MACRON
0xB3 0xA4	0x016B	#LATIN SMALL LETTER U WITH MACRON
0xB3 0xC1	0x0100	#LATIN CAPITAL LETTER A WITH MACRON
